#,Symbol,Name,Market Cap (US $),Price (US $),Circulating Supply,Volume (24h), 1h (%), 24h (%), 7d (%)
313, RCN ,Ripio Credit ...,6360286,0.012784,497530791,170224,0.16,-14.2,-45.64
314, XAS ,Asch,6341312,0.067927,93355331,156271,-0.2,-14.64,-38.93
315, JNT ,Jibrel Network,6339135,0.03771,168100828,30061,0.11,-11.58,-47.6
316, QBIT ,Qubitica,6337101,2.55,2482451,505,-0.11,-12.03,-22.04
317, ITC ,IoT Chain,6335609,0.101074,62682650,702975,-0.2,-14.57,-37.15
318, LYL ,LoyalCoin,6314961,0.00128,4934048956,793198,-0.08,-10.51,-33.26
319, KAN ,BitKan,6308956,0.001992,3167048590,670526,-0.32,-12.48,-20.74
320, DNT ,district0x,6300875,0.010501,600000000,186262,-0.74,-20.86,-45.74
321, NEU ,Neumark,6270641,0.222866,28136425,2411,-0.71,-16.17,-36.69
322, FAIR ,FairCoin,6239341,0.117294,53193831,558,0.94,-18.93,-22.22
323, LCC ,Litecoin Cash,6216307,0.010425,596261218,97539,-0.13,-13.25,-34.08
324, PASC ,Pascal Coin,6213563,0.262384,23681206,16735,-0.09,-16.64,-43.5
325, B2B ,B2BX,6183822,0.375012,16489646,2654334,-0.16,-8.66,-19.3
326, VIBE ,VIBE,6090885,0.023419,260080096,147926,-0.24,-16.61,-46.08
327, VITE ,VITE,6062215,0.014602,415162655,266576,0.22,-11,-44.96
328, EVR ,Everus,6044502,0.011562,522792038,3501,3.02,-15.84,-16.24
329, BTO ,Bottos,5979926,0.011726,509990153,548195,-0.41,-16.69,-37.33
330, CNN ,Content Neutr...,5974110,0.000153,39035223816,215382,-0.62,-19.07,-47.75
331, EDG ,Edgeless,5960365,0.060933,97818696,88753,0.29,-8.28,-31.48
332, ADX ,AdEx,5947690,0.080997,73430701,503707,-0.63,-18.89,-45.39
333, COSS ,COSS,5933246,0.049939,118810622,114045,-0.1,-15.63,-36.33
334, HORUS ,HorusPay,5925413,0.006788,872861114,2873,-1.14,-13.14,-12.79
335, BTX ,Bitcore,5907614,0.357042,16545995,52880,-0.21,-10.84,-26.51
336, INT ,Internet Node...,5905350,0.018837,313498965,672419,-0.36,-12.27,-32.79
337, MTC ,doc.com Token,5853932,0.019692,297273414,156676,0.15,-14.25,-19.31
338, GNX ,Genaro Network,5805031,0.016279,356596604,455670,-0.35,-15.12,-38.69
339, PPY ,Peerplays,5796913,1.29,4492164,4632,-0.34,-13.65,-31.59
340, SPANK ,SpankChain,5696777,0.018987,300043386,30083,-1.3,-17.43,-39.81
341, DAPS ,DAPS Token,5693510,0.000117,48586017346,12883,-0.38,-14.92,-13.41
342, CLOAK ,CloakCoin,5668149,1.09,5219369,151389,-0.52,-17.6,-44.57
343, HYDRO ,Hydro,5653403,0.001933,2924034340,442765,-0.98,-19.03,-42.88
344, GIN ,GINcoin,5649980,1.38,4106142,27374,0.12,-13.72,-32.8
345, XTO ,Tao,5645776,0.169204,33366767,8762,-0.06,-4.56,2.81
346, BITG ,Bitcoin Green,5638943,0.943429,5977069,17687,0,-9.28,-35.88
347, XCP ,Counterparty,5606074,2.14,2615911,19991,-0.39,-16.85,-24.51
348, CPX ,Apex,5592146,0.012527,446395640,293407,-0.13,-9.58,-39.58
349, DERO ,Dero,5534130,0.968263,5715526,32247,-0.5,-17.69,-41.13
350, BTN ,BitNewChain,5523746,0.030738,179701795,1027,-0.32,-8.93,-8.29
351, CDT ,Blox,5520005,0.008201,673079084,130029,-0.41,-16.91,-42.17
352, XRL ,Rialto,5493816,0.066925,82089054,Low Vol,1.08,42.51,-28.35
353, HPC ,Happycoin,5466708,0.318385,17170140,9000,-0.41,-22.58,-41.15
354, LGO ,LGO Exchange,5453778,0.042727,127643918,16858,-0.32,-14.02,-42.75
355, NMC ,Namecoin,5440387,0.36918,14736400,14801,-0.16,-12.86,-25.17
356, TNT ,Tierion,5426142,0.012664,428481269,270914,-0.32,-18.61,-47.13
357, XHV ,Haven Protocol,5417332,0.899691,6021327,145055,-0.32,-18.21,-53.74
358, ECA ,Electra,5356614,0.000189,28361901328,19126,-0.84,-16.94,-45.2
359, FOTA ,Fortuna,5354386,0.011424,468682857,559460,-0.62,-8.02,-32.36
360, LINDA ,Linda,5343209,0.000476,11214573038,22904,0.46,-15.55,-45.85
361, XLQ ,ALQO,5328087,0.092803,57412659,10502,-1.1,-23.14,-52.7
362, IHT ,IHT Real Esta...,5288710,0.009461,559013823,170839,-0.55,-17.08,-38.94
363, PST ,Primas,5186427,0.098428,52692565,586251,0.15,-7.89,-39.04
364, ION ,ION,5161167,0.241748,21349408,4731,0.24,-6.73,-33.49
365, FUEL ,Etherparty,5159779,0.009763,528478202,958171,-0.31,-24.65,-40.54
366, PRE ,Presearch,5159512,0.033287,155000000,27122,0.25,-10.98,-41.44
367, XDCE ,XinFin Network,5152190,0.001334,3862333383,391569,-0.05,-14.4,-37.03
368, LYM ,Lympo,5132963,0.006814,753347989,368157,-0.76,-17.15,-46.43
369, XPM ,Primecoin,5127119,0.199864,25653031,70817,-0.33,-15.5,-33.8
370, RFR ,Refereum,5075470,0.002128,2385305673,220915,-0.53,-15.23,-44.34
371, TRAC ,OriginTrail,5035500,0.017641,285441996,9959,-0.66,-17.9,-34.25
372, MVL ,Mass Vehicle ...,4984554,0.000974,5117232389,Low Vol,-1.58,-16.42,-37.03
373, QLC ,QLC Chain,4981207,0.020755,240000000,138271,-0.4,-19.09,-46.85
374, MER ,Mercury,4980125,0.049801,100000000,173132,-0.91,-16.59,-40.95
375, CHX ,Own,4967684,0.068743,72264765,99279,-0.58,-4.46,-16.61
376, SPHTX ,SophiaTX,4918525,0.025454,193230567,68001,-0.46,-20.12,-48.96
377, MSP ,Mothership,4901990,0.035014,140000000,10848,-0.14,-18,-49.93
378, CFI ,Cofound.it,4901337,0.015081,325000000,Low Vol,-0.14,-10.43,-33.49
379, CPC ,CPChain,4890338,0.01298,376765852,165960,-0.6,-13.98,-38.6
380, BWK ,Bulwark,4862143,0.345981,14053210,8340,0.05,-12.84,-35.86
381, GTC ,Game.com,4847640,0.006366,761444190,1314115,-0.71,-12.26,-42.93
382, DBC ,DeepBrain Chain,4794568,0.003196,1500000000,202907,-0.48,-15.13,-39.45
383, AEON ,Aeon,4748200,0.299922,15831459,2814,-0.39,-15.65,-33.83
384, UTNP ,Universa,4720423,0.002553,1848760649,1133,-0.36,-20,-32.67
385, EVX ,Everex,4695285,0.233887,20075000,262932,-0.03,-17.86,-38.82
386, PBT ,Primalbase Token,4621169,3696.94,1250,3019,-1.61,-20.33,-18.04
387, TERN ,Ternio,4603767,0.011249,409274561,23393,-0.87,-13.83,-41.07
388, ROX ,Robotina,4554744,0.01696,268561148,12997,-0.27,-14.19,-43.52
389, YOYOW ,YOYOW,4527800,0.015093,299999990,423124,-0.06,-17.13,-40.88
390, INO ,INO COIN,4518360,0.225918,20000000,706031,-0.03,-6.21,-25.9
391, DCT ,DECENT,4503767,0.087782,51306089,155797,-0.68,-7.65,-40.08
392, DOCK ,Dock,4463549,0.010307,433052635,488070,-0.11,-18.75,-43.02
393, HVN ,Hiveterminal ...,4372756,0.01064,410956776,11420,-1.14,-16.07,-40.03
394, SKB ,Sakura Bloom,4365874,0.00169,2582965294,9463,-0.53,-11.19,-41.59
395, MNX ,MinexCoin,4346337,0.950794,4571272,29599,0.1,-12.66,-37.03
396, AST ,AirSwap,4332499,0.028883,150000000,374237,-0.35,-21.48,-52.71
397, TIX ,Blocktix,4282337,0.107058,40000000,335666,0.29,-5.99,-36.11
398, MWAT ,Restart Energ...,4260088,0.009409,452750000,19735,-0.54,-10.58,-35.45
399, FTC ,Feathercoin,4205254,0.019246,218503869,7624,-0.3,-14.74,-34.48
400, SEELE ,Seele,4188678,0.006892,607738100,640336,-0.29,-15.97,-52.72
401, LBC ,LBRY Credits,4182649,0.020129,207787143,13946,-0.08,-17.15,-43.88
402, BZ ,Bit-Z Token,4164539,0.092741,44905137,16761552,-0.16,-10.9,-13.32
403, INS ,Insolar,4160029,0.196212,21201657,925103,-0.18,-22.31,-54.95
404, IMT ,Moneytoken,4135670,0.000468,8840334630,111564,-0.16,-13.98,-39.5
405, ATN ,ATN,4116781,0.048833,84302524,29096,1.26,-15.85,-42.02
406, INK ,Ink,4097166,0.008832,463910527,2773615,-0.12,-5.44,-29.38
407, GAME ,GameCredits,4089910,0.058634,69752739,37091,-0.23,-15.36,-36.74
408, BIS ,Bismuth,4075549,0.292408,13937887,14059,-0.06,-15.23,-39.42
409, HAV ,Havven,4058570,0.060524,67057439,133068,-0.52,-13.26,-51.05
410, LA ,LATOKEN,4039254,0.049844,81037294,1891433,-0.11,-13.81,-31.63
411, NKN ,NKN,4031579,0.019629,205385171,171518,-0.2,-14.05,-45.7
412, APPC ,AppCoins,4030737,0.040285,100054312,82310,-0.32,-17.26,-45.68
413, RBLX ,Rublix,3996565,0.189795,21057284,2623,0.97,0.63,-11.25
414, BWT ,Bittwatt,3983452,0.01338,297720542,25092,-0.27,-13.08,-37.27
415, RMT ,SureRemit,3962398,0.007925,500000000,150077,-0.75,-15.13,-27.3
416, ZP ,Zen Protocol,3920146,0.254175,15423000,75319,0.3,-7.61,-34.61
417, PAC ,PACcoin,3886834,0.000765,5077934818,75530,-0.01,-33.48,-42.94
418, SWFTC ,SwftCoin,3883993,0.001067,3639990384,2178188,-0.23,-11.26,-38.64
419, SCR ,Scorum Coins,3873129,0.132346,29265075,8526,-1.6,-8.4,21.71
420, PLBT ,Polybius,3832312,0.965424,3969565,4354,-0.97,-16.72,-36.9
421, MTH ,Monetha,3809454,0.017453,218271923,322323,-0.39,-22.35,-58.14
422, GCR ,Global Curren...,3794548,0.036136,105008199,1925,-0.39,-11.98,-30.83
423, HTML ,HTMLCOIN,3791036,7.1E-05,53067332240,9523,-0.37,-15.26,-37.83
424, ZCN ,0chain,3780310,0.094508,40000000,96902,-0.05,-16.96,-51.53
425, COB ,Cobinhood,3771985,0.009808,384592577,15846,-1.36,-18.81,-50.24
426, KICK ,KickCoin,3768233,0.007082,532082227,71491,-0.08,-14.94,-41.99
427, LINA ,Lina,3752538,0.034894,107541141,1306,-0.35,-14.82,-37.14
428, MLN ,Melon,3723413,6.21,599400,10497,-0.29,-14.81,-34.45
429, SDA ,Six Domain Chain,3674600,0.005149,713593331,2362,0.07,-3.62,-27.45
430, GRFT ,Graft,3639747,0.008413,432643631,8544,-0.18,-16.2,-39.37
431, TUBE ,BitTube,3611130,0.034166,105693362,77222,-0.66,-15.99,-37.18
432, SOAR ,Soarcoin,3582008,0.003316,1080319439,2382,-0.22,-15.44,-55.01
433, CLO ,Callisto Network,3574972,0.004658,767534718,132315,-1.59,-20.4,-43.63
434, AVA ,Travala,3574095,0.122223,29242358,23037,1.15,-17.9,11.08
435, LUN ,Lunyr,3497729,1.52,2297853,123447,-0.27,-16.99,-43.38
436, TFD ,TE-FOOD,3474179,0.006895,503876357,13723,-0.02,-13.07,-33.71
437, UKG ,Unikoin Gold,3467370,0.024201,143272371,28764,-1.44,-26.05,-54.14
438, PEPECASH ,Pepe Cash,3413260,0.004863,701884009,6216,-0.42,-15.58,-29.77
439, BCA ,Bitcoin Atom,3395243,0.185032,18349452,27101,-0.25,-4.06,-16.68
440, VIB ,Viberate,3386984,0.019067,177631464,722420,-0.39,-19.19,-51.92
441, XAUR ,Xaurum,3364909,0.035118,95817468,12800,0.47,-14.1,-3.93
442, RVR ,RevolutionVR,3342245,0.015915,210000000,17238,0.14,-12.2,-38.4
443, CLAM ,Clams,3334639,0.99966,3335773,12656,-0.02,-7.69,-29.6
444, KARMA ,KARMA,3316900,0.001005,3299031186,517,-0.54,-13.15,-34.44
445, ARN ,Aeron,3285487,0.25273,13000000,657399,-0.31,-20.9,-47.16
446, ROCK2 ,ICE ROCK MINING,3279552,0.208885,15700272,2853,0.05,-8.57,-23.38
447, SEM ,Semux,3275402,0.376752,8693782,1607,0.06,-13.43,-42.82
448, BLT ,Bloom,3266546,0.06825,47861697,9905,0.29,-12.76,-45.57
449, PHR ,Phore,3256838,0.212416,15332328,78370,-0.69,-18.07,-37.79
450, SHIFT ,Shift,3251736,0.257666,12619975,10605,-0.11,-5.37,-37.93
451, CHAT ,ChatCoin,3231534,0.004683,690000640,70887,-0.89,-0.67,-28.3
452, BMC ,Blackmoon,3200620,0.14603,21917544,282425,-0.25,-11.89,-30.17
453, TOA ,ToaCoin,3196093,0.001113,2871217151,41159,-0.06,-24.5,-10.03
454, DADI ,DADI,3194124,0.042705,74795646,212899,-0.43,-15.01,-37.33
455, 1ST ,FirstBlood,3177849,0.037142,85558371,1922,-0.2,-8.05,-35.57
456, ECC ,ECC,3175350,0.000127,25000000000,775,-0.08,-2.66,-26.29
457, EDN ,Eden,3169463,0.005492,577151976,283371,-0.04,-5.1,-35.43
458, HMC ,Hi Mutual Soc...,3130227,0.007746,404100000,164792,-0.1,-16.45,-34.84
459, DGX ,Digix Gold Token,3116859,41.51,75091,54013,0.44,1.32,-2.12
460, ZPT ,Zeepin,3115459,0.006231,500000000,32849,-0.2,-13.88,-54.54
461, ADT ,adToken,3094248,0.005157,600000000,97448,-1.01,-18.81,-51.5
462, LUX ,LUXCoin,3065271,1.02,3004481,17442,-0.05,-11.19,-25.16
463, BKX ,BANKEX,3065051,0.033408,91745685,703449,-0.41,-10.37,-48.08
464, HLC ,HalalChain,3059161,0.007864,389009995,47795,-0.03,-15.63,-25.74
465, CEEK ,CEEK VR,3052880,0.004449,686199241,117402,0.07,-6.76,-49.47
466, SPC ,SpaceChain,3049053,0.00591,515923518,37607,-0.83,-19.97,-56.56
467, FTI ,FansTime,3045303,0.001069,2850000000,347320,-0.33,-13.29,-31.97
468, BLK ,BlackCoin,3038818,0.046276,65666630,23044,-0.27,-15.63,-28.35
469, DBET ,DecentBet,3024981,0.018037,167707172,225923,0.02,-2.22,-37.42
470, HST ,Decision Token,3024401,0.094436,32025998,44389,0.22,-9.61,-38.42
471, NANJ ,NANJCOIN,3019093,0.000156,19361889557,26669,-0.39,-26,-54.2
472, SPD ,SPINDLE,3002153,0.000847,3543496682,23572,0.9,-13.91,-39.44
473, XP ,Experience Po...,3001506,1.2E-05,252152758136,14751,-0.06,-4.58,-19.01
474, MRK ,MARK.SPACE,2993236,0.005532,541043821,110969,-0.74,-17.52,-48.68
475, XEL ,XEL,2992914,0.032647,91676277,3597,0.06,-13.68,-42.14
476, DMD ,Diamond,2983385,0.985796,3026371,4169,-0.26,-13.18,-38.46
477, BCPT ,BlockMason Cr...,2974772,0.03257,91335609,259313,-0.18,-20.15,-53.69
478, CHSB ,SwissBorg,2963962,0.005147,575821133,38252,0.15,-11.13,-33.36
479, DPY ,Delphy,2949261,0.061714,47789395,64007,-1.55,-23.34,-52.75
480, HSC ,HashCoin,2899119,0.000225,12863911326,1275,-0.06,-5.39,-22.73
481, FXT ,FuzeX,2891414,0.003823,756402780,3002,0.46,4.08,-39.66
482, MOT ,Olympus Labs,2882429,0.075171,38344747,242255,-0.27,-7.08,-33.87
483, SINS ,SafeInsure,2873699,2.74,1050000,154828,-0.23,-10.81,-27.62
484, LQD ,Liquidity Net...,2846223,0.066758,42634645,645401,-0.3,-21.47,-59.15
485, NMR ,Numeraire,2814039,2.09,1349328,22831,-0.67,-19.13,-36.22
486, FLO ,FLO,2812031,0.018943,148443697,8543,-0.2,-1.17,-37.96
487, NPX ,NaPoleonX,2791787,0.110217,25330000,1402,-0.08,8.21,-38.99
488, EKT ,EDUCare,2791071,0.006202,450000000,76425,-0.8,-22.61,-48.35
489, TAU ,Lamden,2789591,0.019615,142215728,20748,0.2,-14.58,-43.79
490, BRM ,BrahmaOS,2778942,0.004487,619267130,30672,-1.46,-5.06,-12.07
491, QUN ,QunQun,2770594,0.003862,717395793,118780,-0.06,-13.83,-34.1
492, AURA ,Aurora DAO,2770591,0.018214,152109274,3667,-0.31,-19.75,-42.48
493, EVN ,Envion,2762832,0.024808,111368894,620,-3.45,-12.66,-38.75
494, SEN ,Consensus,2756120,0.001717,1605601520,18596,-0.18,-17.6,-38.8
495, DLT ,Agrello,2737405,0.031838,85978873,241627,-0.03,-16.1,-49.98
496, DCC ,Distributed C...,2728034,0.001494,1825592361,19276,-0.27,-11.26,-52.56
497, BBK ,Brickblock,2724053,0.036257,75131283,62647,-0.24,-16.12,-45.78
498, RMC ,Russian Miner...,2719765,1804.75,1507,1193,-0.07,33.85,7.74
499, RBY ,Rubycoin,2695086,0.102426,26312412,Low Vol,1.25,-10.46,-52.91
500, NBC ,Niobium Coin,2686877,0.054492,49307740,4799,3.92,-3.41,-42.18
501, EXC ,Eximchain,2682121,0.039849,67306444,48171,-0.25,-3.42,-48.02
502, ELEC ,Electrify.Asia,2670318,0.005618,475341833,27793,-1.02,-22.04,-50.87
503, LIF ,Winding Tree,2666584,0.132984,20051862,Low Vol,-0.19,-14.25,-35.89
504, BET ,DAO.Casino,2654748,0.015871,167270821,828,-0.48,-1.72,-25.02
505, PCH ,POPCHAIN,2640350,0.006297,419315876,172985,0.16,-9.22,-10.25
506, BITB ,Bean Cash,2634888,0.001006,2618516000,9417,-0.61,-19.64,-44.65
507, DIVI ,Divi,2627782,0.00424,619797400,5876,-0.41,-13.97,-30.86
508, DIM ,DIMCOIN,2617934,0.001245,2102483276,54695,-0.17,-19.67,-39.55
509, XMY ,Myriad,2587623,0.001595,1622358878,6251,0.36,-8.24,-28.69
510, ZCO ,Zebi,2578120,0.005156,500000000,212192,-0.76,-17.7,-49.92
511, SWTH ,Switcheo,2574969,0.004926,522694673,16114,-0.67,-18.78,-41.4
512, CRW ,Crown,2565861,0.12305,20852170,44411,-0.6,-20.74,-56.54
513, DOV ,Dovu,2554428,0.00639,399758698,Low Vol,-0.04,-9.91,-26.72
514, COLX ,ColossusXT,2550532,0.000234,10886683196,4130,0.2,-19.93,-42.03
515, SNET ,Snetwork,2537932,0.018951,133919353,81961,-0.55,-5.4,8.73
516, IVY ,Ivy,2524227,0.008221,307042827,1305,-0.01,-10.3,-43.21
517, CV ,carVertical,2519611,0.000325,7746292303,11498,0.13,-12.7,-39.66
518, SIX ,SIX,2500947,0.009135,273776596,10836,0.04,-12.97,-44.36
519, NCT ,PolySwarm,2499722,0.001616,1546457130,94584,-0.21,-10.7,-24.62
520, BIR ,Birake,2470351,0.117971,20940365,118705,-0.58,-23.3,9.33
521, POLIS ,Polis,2458071,0.57667,4262523,9120,-0.22,-15.36,-32.65
522, BEZ ,Bezop,2453474,0.048614,50468854,703673,9.66,38.88,-0.74
523, EBC ,EBCoin,2445993,0.000695,3519568066,38435,-0.03,-13.24,-18.29
524, AVINOC ,AVINOC,2441112,0.006488,376275340,714,4.04,7.52,-45.85
525, YEE ,YEE,2434693,0.001783,1365218125,76813,-0.35,-18.37,-47.23
526, PND ,Pandacoin,2430161,7.5E-05,32514916898,Low Vol,0.09,-19.01,-29.54
527, DATX ,DATx,2419693,0.001739,1391302551,551409,-0.81,-27.8,-39.26
528, GRC ,GridCoin,2418128,0.005875,411595880,1977,-0.33,-12.51,-34.49
529, UUU ,U Network,2411956,0.000409,5901797145,95806,0.09,-17.9,-46.88
530, LET ,LinkEye,2404668,0.004008,600000000,126459,-0.01,-9.85,-38.29
531, DIME ,Dimecoin,2393172,4E-06,539096740560,1458,-0.56,-15.73,-62.33
532, DICE ,Etheroll,2378212,0.339666,7001623,8405,-0.76,-1.24,-26.54
533, AIDOC ,AI Doctor,2376701,0.005361,443333332,1094509,-0.23,-6.45,-25.35
534, OAX ,OAX,2365726,0.094594,25009250,200559,-0.6,-23.37,-54.92
535, LCS ,LocalCoinSwap,2357455,0.045052,52327599,124510,-0.01,-16.89,-44.37
536, MLM ,MktCoin,2348557,0.002057,1141894164,2896,-0.15,-13.25,-28.31
537, AXPR ,aXpire,2346817,0.008549,274499990,77741,-0.11,-15.35,-34.85
538, BBC ,TraDove B2BCoin,2340044,0.00468,500000000,38754,-0.59,-11.83,-10.62
539, BOX ,ContentBox,2329931,0.003786,615476313,659405,-0.22,-21.16,-51.47
540, BRZC ,Breezecoin,2321508,0.226305,10258316,8425,0.05,-13.32,-40.91
541, XSPEC ,Spectrecoin,2308291,0.111054,20785264,1360,0.04,-12.51,-34.74
542, HOT ,Hydro Protocol,2308247,0.003288,702000000,340747,-1.28,-24.69,-53.51
543, POT ,PotCoin,2281652,0.010318,221136307,6838,0.18,-13.81,-28.73
544, ANC ,Anoncoin,2275144,1.08,2110317,9539,-2.61,7.76,-42.08
545, NPW ,New Power Coin,2273074,0.131604,17272101,Low Vol,-0.06,-4.94,-32.36
546, KRM ,Karma,2271870,0.001274,1782809241,47857,-0.74,-3.33,-7.76
547, SUQA ,SUQA,2262858,0.006469,349774980,86002,-0.57,-16.88,-31.15
548, UPP ,Sentinel Prot...,2252427,0.009858,228497552,272952,-0.6,-14.46,-53.77
549, SOUL ,Phantasma,2249827,0.038569,58332939,98669,-0.3,-17.45,-47.23
550, YEED ,YGGDRASH,2234686,0.000455,4912116975,211596,0.53,-20.35,-48.14
551, SKM ,Skrumble Network,2228183,0.00298,747764373,637144,-0.04,-5.59,-27.58
552, BTT ,Blocktrade Token,2225328,0.041114,54125290,66140,-0.48,27.07,-39.34
553, GSC ,Global Social...,2216805,0.004804,461460428,81075,-0.34,-12.43,-44.4
554, THC ,HempCoin,2214255,0.009068,244172892,2074,-0.05,-13.76,-42.41
555, UP ,UpToken,2213529,0.015105,146538250,8861,-0.29,-13.2,-45.69
556, ZPR ,ZPER,2203934,0.001815,1214186413,1567211,-0.68,-11.83,-42.49
557, CVN ,CVCoin,2176595,0.175803,12380890,104156,-0.38,-15.13,-42.5
558, ATCC ,ATC Coin,2172286,0.009355,232203700,39966,-0.12,-16.28,-28.78
559, CAG ,Change,2158013,0.058152,37109987,1237,-2.71,-18.68,-28.51
560, TTV ,TV-TWO,2131349,0.010008,212956962,Low Vol,-0.19,-15.08,-27
561, GET ,GET Protocol,2108810,0.185174,11388258,1308,0.3,-16.94,-40.17
562, OWN ,OWNDATA,2103631,0.000191,11000000000,17110,-0.19,-20.06,-45.43
563, NIM ,Nimiq,2080257,0.000759,2741879134,170221,0.07,-16.89,-42.6
564, VIN ,VINchain,2077357,0.004327,480108901,195736,-0.47,-10.32,-44.51
565, DAX ,DAEX,2076811,0.005598,371024172,271936,0.67,-9.49,-26.86
566, RADS ,Radium,2071862,0.581611,3562285,12788,-0.53,-22.55,-44.75
567, ONION ,DeepOnion,2069928,0.128636,16091403,9757,-0.77,-21.31,-50.27
568, PCL ,Peculium,2063665,0.001052,1962204726,32634,-0.12,-9.41,-37.42
569, UT ,Ulord,2054860,0.046868,43843156,164102,-0.02,-12.23,-38.87
570, DACS ,DACSEE,2053015,0.00275,746680445,54784,-0.46,-13.97,-40.89
571, MUE ,MonetaryUnit,2050740,0.014262,143787794,3345,-0.55,-11.5,-46.64
572, BPT ,Blockport,2041917,0.038621,52870933,152906,0.22,-19.24,-43.48
573, COVAL ,Circuits of V...,2013831,0.002014,1000000000,5822,-0.65,-14.12,-37.16
574, LND ,Lendingblock,2008691,0.003358,598143133,35440,-0.27,-12.5,-40.62
575, TMT ,TRAXIA,1986149,0.004042,491400000,169730,-0.61,-16.73,-46.39
576, THR ,ThoreCoin,1983445,23.09,85910,30637,-0.1,-13.83,-38.64
577, DOT ,Dotcoin,1975921,0.006333,312018000,2009,-0.63,-16.72,-36.16
578, BWX ,Blue Whale Token,1975709,9.3E-05,21306923231,136456,-1.95,-29.98,-49.73
579, DX ,DxChain Token,1959289,0.000129,15202017860,97098,-0.1,-16.53,-34.57
580, TAAS ,TaaS,1957189,0.240264,8146001,Low Vol,-0.41,-7.89,-33.05
581, UDOO ,Howdoo,1955821,0.021806,89691366,197100,-1.11,-21.94,-30.6
582, CXO ,CargoX,1951611,0.01512,129071409,34268,0.28,-22.86,-50.13
583, YOC ,Yocoin,1951362,0.006198,314851161,10218,0.13,-13.12,-30.12
584, GOLOS ,Golos,1949758,0.015658,124518891,Low Vol,-4.76,71.19,6.2
585, IOC ,I/O Coin,1945418,0.113821,17091897,1470,0.47,-14.22,-39.92
586, XRA ,Xriba,1925999,0.030518,63110312,6352,-0.08,-2.52,-23.8
587, KCASH ,Kcash,1919815,0.006413,299360573,166965,-0.52,-11.62,-41.27
588, RISE ,Rise,1919485,0.014628,131223639,1736,2.12,-11.72,-36.05
589, PAYX ,Paypex,1915226,0.027989,68428768,16735,0.26,-9.07,-32.36
590, XMX ,XMax,1906434,0.000255,7485570616,94842,0.14,-6.28,-25.38
591, HWC ,HollyWoodCoin,1898527,0.167496,11334774,101703,1.74,-17.76,-19.1
592, FLASH ,Flash,1891742,0.002102,900000000,2919,-0.45,-23.88,-49.38
593, XNK ,Ink Protocol,1888489,0.009737,193949269,94712,-0.96,-21.34,-53.17
594, AMP ,Synereo,1885927,0.018723,100728564,21197,-0.24,-15.66,-42.86
595, RMESH ,RightMesh,1874627,0.033191,56480738,44399,0.31,-4,-44.92
596, TOL ,Tolar,1874582,0.005939,315631567,180488,-1.11,-10.77,-45.41
597, OPEN ,Open Platform,1873966,0.004297,436114139,4013,-2.03,-26.2,-52.39
598, OCT ,OracleChain,1871713,0.06239,30000000,9576,-0.32,-16.14,-35.46
599, WTL ,Welltrado,1867617,0.050421,37040574,141644,-0.86,6.67,-10.49
600, CARD ,Cardstack,1866457,0.000774,2410116070,114168,0.22,-15.82,-48.97
601, INCNT ,Incent,1865024,0.040529,46016599,3076,-0.48,-15.16,-48.17
602, TTT ,TrustNote,1849274,0.005965,309999945,511554,0.05,-11.34,-38
603, VRC ,VeriCoin,1841133,0.058685,31373152,24054,-0.05,-20.6,-44.45
604, SNC ,SunContract,1840169,0.014996,122707503,143075,-0.17,-12.35,-38.36
605, XBI ,Bitcoin Incog...,1832336,0.239583,7648035,19928,-1.05,-20.09,-44.8
606, CAPP ,Cappasity,1828714,0.00368,496989149,79510,0.36,-0.49,-30.52
607, SS ,Sharder,1823623,0.006437,283282765,296077,-0.84,-11.57,-44.61
608, VLD ,Vetri,1822680,0.008446,215812716,Low Vol,-5.43,-36.77,-52.63
609, ZEL ,ZelCash,1812700,0.040432,44833016,6250,-0.42,-15.45,-36.05
610, PURA ,Pura,1809348,0.010344,174910091,2867,-0.25,-21.01,-45.76
611, UBEX ,Ubex,1798092,0.000597,3012932547,1198306,-0.1,-14.86,-38.64
612, STK ,STK,1787056,0.005228,341838595,62735,-0.32,-3.6,-36.76
613, SENT ,Sentinel,1777914,0.000889,1999969999,1018,0.23,-17.08,-48.58
614, PRG ,Paragon,1774564,0.026913,65936589,Low Vol,9.55,5.71,-51.23
615, REM ,Remme,1772439,0.002948,601315410,116759,-0.19,-14.47,-39.41
616, DTB ,Databits,1769870,0.077804,22747809,7707,-0.26,-20.16,-45.53
617, HMQ ,Humaniq,1762431,0.009512,185286753,55731,-1.13,-20.84,-45.4
618, PEDI ,Pedity,1761955,0.001287,1368610817,Low Vol,-0.9,-21.5,-42.71
619, PAL ,Pal Network,1755540,0.003823,459183909,151210,-0.18,-17.05,-46.61
620, DRT ,DomRaider,1725550,0.002917,591500000,50627,-0.35,-17.17,-43.58
621, MRPH ,Morpheus.Network,1721436,0.058458,29447339,60596,-0.34,-15.75,-32.76
622, NYC ,NewYorkCoin,1715966,1.3E-05,134024588760,1467,1.95,-28.06,-5.42
623, MOL ,Molecule,1715115,0.000134,12782432251,732520,-0.06,-15.03,-43.54
624, GOT ,GoNetwork,1712400,0.030044,56996635,518668,-0.8,-18.54,-46.63
625, ESP ,Espers,1700944,7.5E-05,22619625362,568,-0.07,-13.56,-28.95
626, ZSC ,Zeusshield,1697988,0.001472,1153170765,34203,-0.58,-11.4,-41.92
